Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key
101 Amazing Facts About the Royal Family,Jack Goldstein,2.6,2.6,15.0,2.772588722239781,152.0,"Are you a fan of the modern generation of royals? How much do you know about the lives of Prince William; his wife, Catherine, Duchess of Cambridge; and the rest of the royal family?",Biographies of Royalty | Biographies & Autobiographies (Books) | Textbooks & Study Guides,",#29,652 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#39 in Biographies of Royalty,#48,605 in Biographies & Autobiographies (Books),#422,865 in Textbooks & Study Guides",29652.0,30 minutes,30.0,Both,1,1,1,101 amazing facts about the royal family,jack goldstein
101 Amazing Facts About Trees,Jack Goldstein,5.0,5.0,1.0,0.6931471805599453,152.0,How can you use a tree as a compass? What on earth makes maple trees explode? Where is the tallest tree in the world? And how can a tree own itself?,"Audiobooks on Flowers & Trees for Children | Botany & Plants | Children's Science, Nature & Technology (Books)",",#29,657 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Audiobooks on Flowers & Trees for Children,#36 in Botany & Plants,#14,830 in Children's Science, Nature & Technology (Books)",29657.0,35 minutes,35.0,Both,1,1,1,101 amazing facts about trees,jack goldstein
101 Amazing Facts About William Shakespeare,Jack Goldstein,,4.5,0.0,0.0,152.0,Did you know that Shakespeare introduced thousands of words into the English language? Do you know what unusual item he left to his wife in his will? Have you heard of the conspiracy theory that suggests Shakespeare didn't write the plays we attribute to him today?,"Historical Biographies | Literary History & Criticism | Literary Theory, History & Criticism",",#29,653 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#191 in Historical Biographies,#248 in Literary History & Criticism,#19,105 in Literary Theory, History & Criticism",29653.0,26 minutes,26.0,Both,1,1,1,101 amazing facts about william shakespeare,jack goldstein
101 Animals Stories,Dreamland Publications,4.3,4.3,560.0,6.329720905522696,233.0,,Unknown,Unknown,,Unknown,,Both,0,0,0,101 animals stories,dreamland publications
101 Bedtime Stories,Dreamland Publications,3.9,3.9,461.0,6.135564891081739,233.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,101 bedtime stories,dreamland publications
101 Best Indian Fables for Children,Stuti Gupta,3.7,3.7,23.0,3.1780538303479458,233.0,Would you like to meet the ferocious king of the jungle? How about listening to the story of the cunning fox that talks its way out of tricky situations? Wonder what the little monkey is doing with the looking glass? Or what the peacock and crow are fighting over?,"Fairy Tales, Folk Tales & Myths for Children | Literature & Fiction for Children | Children's Traditional Stories (Books)",",#3,958 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#42 in Fairy Tales, Folk Tales & Myths for Children,#255 in Literature & Fiction for Children,#1,094 in Children's Traditional Stories (Books)",3958.0,2 hours and 26 minutes,146.0,Both,1,1,1,101 best indian fables for children,stuti gupta
101 Essays That Will Change the Way You Think,Brianna Wiest,4.5,4.5,104.0,4.653960350157523,586.0,,Unknown,Unknown,,Unknown,,Both,0,0,0,101 essays that will change the way you think,brianna wiest
101 Fairy Tales Book,Dreamland Publications,4.3,4.3,386.0,5.958424693029782,233.0,"This volume is a collection of the most memorable fairy tales for young learners. Short and easy adaptations of stories invite young minds to enjoy the world of fantasy, dreams, fairies, elves, princesses, knights, demons and magicians. Popular tales like Cinderella, Beauty and the Beast, Snow White and the Seven Dwarfs, Thumbelina, Sleeping Beauty, Alice in Wonderland, Aladdin, Pinocchio, Peter Pan and more introduce listeners to these cherished characters through a simple and easy-to-follow retelling. Favourites from the animal kingdom are presented in tales like The Jungle Book, Goldilocks and the Three Bears, The Monkey and the Crab, Three Naughty Little Rabbits, Bambi and others.",Unknown,Unknown,,Unknown,,Both,1,0,0,101 fairy tales book,dreamland publications
101 Great Answers to the Toughest Interview Questions,Ron Fry,4.6,4.6,9.0,2.302585092994046,398.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,101 great answers to the toughest interview questions,ron fry
101 Jungle Stories,Om Books International,3.9,3.9,47.0,3.871201010907891,233.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,101 jungle stories,om books international
