Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key,Review_Group,Description_Length
Morning Star: Book III of the Red Rising Trilogy,Pierce Brown,4.8,4.8,3016.0,8.012018239159062,1055.0,"Darrow would have lived in peace, but his enemies brought him war. The Gold overlords demanded his obedience, hanged his wife, and enslaved his people. But Darrow is determined to fight back. Risking everything to transform himself and breach Gold society, Darrow has battled to survive the cutthroat rivalries that breed Society's mightiest warriors, climbed the ranks, and waited patiently to unleash the revolution that will tear the hierarchy apart from within.",Hard Science Fiction | Dystopian Science Fiction | Adventure Science Fiction,",#3,196 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#7 in Hard Science Fiction,#13 in Dystopian Science Fiction,#20 in Adventure Science Fiction",3196.0,21 hours and 50 minutes,1310.0,Both,1,1,1,morning star: book iii of the red rising trilogy,pierce brown,1001+,465
"So Long, Lollipops: The Free Until The End of the World Novella",Sarah Lyons Fleming,4.8,4.8,174.0,5.1647859739235145,0.0,**WARNING**,Horror Fiction | Post-Apocalyptic Science Fiction,",#30 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Horror Fiction,#2 in Post-Apocalyptic Science Fiction",,3 hours and 12 minutes,192.0,Both,1,1,1,"so long, lollipops: the free until the end of the world novella",sarah lyons fleming,51-200,11
Doctor Who: 10th Doctor Tales: 10th Doctor Audio Originals,Peter Anghelides,4.8,4.8,9.0,2.302585092994046,1093.0,"David Tennant, Catherine Tate and Michelle Ryan read this exclusive collection of original audio adventures. Join the Tenth Doctor on these seven adventures in time and space, written specially for audio.",Science Fiction | Science Fiction (Books) | Fantasy (Books),",#3,550 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#95 in Science Fiction (Audible Audiobooks & Originals),#991 in Science Fiction (Books),#2,666 in Fantasy (Books)",3550.0,15 hours and 11 minutes,911.0,Advanced Only,1,1,1,doctor who: 10th doctor tales: 10th doctor audio originals,peter anghelides,0-50,204
The Martian,Andy Weir,4.7,4.7,33293.0,10.413132479553957,1171.0,"A brand-new production of Andy Weir’s modern sci-fi classic, narrated by the incomparable Wil Wheaton, and featuring bonus content from the writings of Mark Watney.",Hard Science Fiction | Adventure Science Fiction | Suspense,",#1,032 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Hard Science Fiction,#6 in Adventure Science Fiction,#21 in Suspense",1032.0,10 hours and 59 minutes,659.0,Both,1,1,1,the martian,andy weir,1001+,164
Jurassic Park: A Novel,Michael Crichton,4.7,4.7,3259.0,8.089482474360754,1005.0,Featured title in the 2018 PBS Great American Reads,"Science Fiction Movie, TV & Video Game Tie-Ins | Movie, TV & Video Game Tie-In Fiction | Adventure Science Fiction",",#2,242 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Science Fiction Movie, TV & Video Game Tie-Ins,#11 in Movie, TV & Video Game Tie-In Fiction,#13 in Adventure Science Fiction",2242.0,15 hours and 10 minutes,910.0,Both,1,1,1,jurassic park: a novel,michael crichton,1001+,51
