K,WCSS,Silhouette_Score
2,830.8798098539952,0.14734405709719564
3,808.3522149807577,0.15313482703923664
4,793.211888871929,0.1576353181264204
5,780.7456619833628,0.16189917322855613
6,764.6589703665342,0.12789513974252645
7,757.3851771061827,0.14515590516105092
8,747.808117302654,0.16488368975024217
9,733.3216409779241,0.12062100732133445
10,724.8770864349101,0.14035268998673484
