Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key,Review_Group,Description_Length
A Dance with Dragons: Book 5 of A Song of Ice and Fire,George R. R. Martin,4.4,4.4,10368.0,9.246575864558276,18149.0,"The complete, unabridged audiobook of A Dance with Dragons.","Fantasy Movie, TV & Video Game Tie-Ins | Movie, TV & Video Game Tie-In Fiction | Action & Adventure Fiction",",#1,086 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Fantasy Movie, TV & Video Game Tie-Ins,#6 in Movie, TV & Video Game Tie-In Fiction,#22 in Action & Adventure Fiction",1086.0,48 hours and 53 minutes,2933.0,Both,1,1,1,a dance with dragons: book 5 of a song of ice and fire,george r. r. martin,1001+,59
A Dog's Purpose: A novel for humans,W. Bruce Cameron,4.7,4.7,4575.0,8.428580533059634,323.0,"This is the remarkable story of one endearing dog's search for his purpose over the course of several lives. More than just another charming dog story, A Dog's Purpose touches on the universal quest for an answer to life's most basic question: why are we here?","Animal Fiction | Movie, TV & Video Game Tie-In Fiction | Humorous Fiction",",#3,259 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Animal Fiction,#17 in Movie, TV & Video Game Tie-In Fiction,#29 in Humorous Fiction",3259.0,8 hours and 17 minutes,497.0,Both,1,1,1,a dog's purpose: a novel for humans,w. bruce cameron,1001+,260
A Feast for Crows: Book 4 of A Song of Ice and Fire,George R. R. Martin,4.4,4.4,6389.0,8.762489547371581,18149.0,"The complete, unabridged audiobook of A Feast for Crows.",Unknown,Unknown,,Unknown,,Both,1,0,0,a feast for crows: book 4 of a song of ice and fire,george r. r. martin,1001+,56
A Game of Thrones: Book 1 of A Song of Ice and Fire,George R. R. Martin,4.7,4.7,12923.0,9.466841326944389,18149.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,a game of thrones: book 1 of a song of ice and fire,george r. r. martin,1001+,0
A Gentleman in Moscow,Amor Towles,4.6,4.6,16358.0,9.702533483594172,873.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,a gentleman in moscow,amor towles,1001+,0
A Legacy of Spies,John le Carré,4.2,4.2,2315.0,7.747596838692885,888.0,Unknown,Unknown,Unknown,,Unknown,,Advanced Only,0,0,0,a legacy of spies,john le carré,1001+,0
A Little Life,Hanya Yanagihara,4.3,4.3,5291.0,8.573951525234847,323.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,a little life,hanya yanagihara,1001+,0
A New Earth: Awakening Your Life's Purpose,Eckhart Tolle,4.7,4.7,5188.0,8.55429627936774,1131.0,"Building on the astonishing success of The Power of Now, Eckhart Tolle presents listeners with an honest look at the current state of humanity: He implores us to see and accept that this state, which is based on an erroneous identification with the egoic mind, is one of dangerous insanity.","Other Religions, Practices & Sacred Texts | Personal Development | Mind, Body & Spirit",",#347 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Other Religions, Practices & Sacred Texts,#95 in Personal Development,#372 in Mind, Body & Spirit",347.0,9 hours and 12 minutes,552.0,Both,1,1,1,a new earth: awakening your life's purpose,eckhart tolle,1001+,290
A Prisoner of Birth,Jeffrey Archer,4.6,4.6,2287.0,7.735433352499688,323.0,You heard it here first: The unabridged edition of A Prisoner of Birth is only available as a download.,"Suspense | Literature & Fiction | Crime, Thriller & Mystery (Books)",",#1,725 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#55 in Suspense,#382 in Literature & Fiction (Audible Audiobooks & Originals),#2,368 in Crime, Thriller & Mystery (Books)",1725.0,16 hours and 22 minutes,982.0,Both,1,1,1,a prisoner of birth,jeffrey archer,1001+,103
A River in Darkness: One Man's Escape from North Korea,Masaji Ishikawa,4.6,4.6,5131.0,8.543250725735527,586.0,"The harrowing true story of one man's life in—and subsequent escape from—North Korea, one of the world's most brutal totalitarian regimes.","Cultural, Ethnic & Regional Biographies | Biographies of Activists | Biographies of Politicians",",#1,285 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Cultural, Ethnic & Regional Biographies,#6 in Biographies of Activists,#13 in Biographies of Politicians",1285.0,5 hours and 54 minutes,354.0,Both,1,1,1,a river in darkness: one man's escape from north korea,masaji ishikawa,1001+,138
"A Scare of a Dare: Diary of a Minecraft Zombie, Book 1",Zack Zombie,4.7,4.7,3028.0,8.015987811027237,132.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"a scare of a dare: diary of a minecraft zombie, book 1",zack zombie,1001+,0
A Short History of Nearly Everything,William Roberts,4.5,4.5,4319.0,8.371010681238156,797.0,Featuring a special introduction written for the audiobook edition and read by the author,Unknown,Unknown,,Unknown,,Both,1,0,0,a short history of nearly everything,william roberts,1001+,89
A Spy Among Friends: Kim Philby and the Great Betrayal,Ben Macintyre,4.6,4.6,1819.0,7.506591780070841,839.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,a spy among friends: kim philby and the great betrayal,ben macintyre,1001+,0
