,Rating,Number of Reviews,Log Reviews,Price,Audible Rank,Listening Time Minutes
Rating,1.0,0.05963814025269276,0.22653264352079389,0.021223737675129778,-0.012952860793260506,0.03269296712399966
Number of Reviews,0.05963814025269276,1.0,0.47604155147111843,0.08297094450641906,-0.11892648622731579,0.05603827119100401
Log Reviews,0.22653264352079389,0.47604155147111843,1.0,0.12833190811508438,-0.17968112296522573,0.10690032100108016
Price,0.021223737675129778,0.08297094450641906,0.12833190811508438,1.0,-0.05739002917565414,0.13010849147926634
Audible Rank,-0.012952860793260506,-0.11892648622731579,-0.17968112296522573,-0.05739002917565414,1.0,-0.0591114918368152
Listening Time Minutes,0.03269296712399966,0.05603827119100401,0.10690032100108016,0.13010849147926634,-0.0591114918368152,1.0
