Cluster,Book_Count,Percentage,Silhouette_Score,Inertia
0,162,2.67,0.16488368975024217,747.808117302654
1,4013,66.19,0.16488368975024217,747.808117302654
2,19,0.31,0.16488368975024217,747.808117302654
3,19,0.31,0.16488368975024217,747.808117302654
4,1408,23.22,0.16488368975024217,747.808117302654
5,363,5.99,0.16488368975024217,747.808117302654
6,64,1.06,0.16488368975024217,747.808117302654
7,15,0.25,0.16488368975024217,747.808117302654
