Genre_List,Average_Rating,Book_Count,Total_Reviews
Buying & Selling Homes,4.7,1,243.0
C Programming Language,3.6,1,22.0
Canada Travel & Tourism,,1,0.0
Cancer,4.6,1,11526.0
Capitalism,4.5,1,706.0
Caribbean & Latin American Literature,4.566666666666666,4,2664.0
Catholicism,4.9,1,371.0
Celebrity Chefs & Restaurants,4.0,1,5.0
Central Asian History,4.6,2,580.0
Chakras,5.0,1,17.0
Child Psychology,4.62,5,1835.0
Children's Action & Adventure,4.7,7,17928.0
Children's Comics & Graphic Novels,4.6000000000000005,3,1332.0
"Children's Crafts, Hobbies & Practical Interests (Books)",,1,0.0
Children's Crime & Thriller (Books),4.6,1,89.0
"Children's Family, Personal & Social Issues (Books)",4.266666666666667,3,2494.0
Children's Fantasy (Books),4.66,16,34641.0
Children's Health,4.6,1,1330.0
Children's History (Books),4.65,2,778.0
Children's Horror & Ghost Stories (Books),4.55,2,4855.0
Children's Humour (Books),4.6,1,468.0
Children's Literature & Fiction (Books),4.666666666666667,26,44827.0
Children's Mysteries & Curiosities (Books),4.6,1,2456.0
Children's Picture Books (Books),4.9,1,487.0
Children's Reference (Books),3.4000000000000004,2,298.0
Children's Religion (Books),4.6,2,612.0
Children's Science Fiction (Books),4.533333333333334,3,21042.0
"Children's Science, Nature & Technology (Books)",4.95,2,488.0
Children's Sport (Books),4.7,1,1147.0
Children's Studies Social Science,4.2,1,41.0
Children's Traditional Stories (Books),4.081818181818182,14,4110.0
Chinese History,4.3,1,49.0
Christian Apologetics,4.733333333333333,3,1130.0
Christian Classic & Allegorical Fiction,4.7,1,3871.0
Christian Death & Grief,4.7,3,1055.0
Christian Discipleship,4.766666666666667,3,1096.0
Christian Evangelism,4.9,1,736.0
Christian Family,4.5,1,30.0
Christian Marriage & Relationships,4.75,2,16394.0
Christian Ministry & Evangelism,4.9,3,652.0
Christian Romance,4.6,1,16.0
Christian Sermons,4.8,1,508.0
Christian Spiritual Growth,4.742857142857143,7,1713.0
Christian Theology,4.75,2,588.0
Christian Thriller & Suspense,4.633333333333333,3,364.0
Christianity,4.75,2,3434.0
Christianity (Books),4.4653846153846155,28,17066.0
Christmas Fiction for Children,4.5,1,142.0
Christology,4.800000000000001,2,701.0
Church & State,4.575,4,2377.0
Cinema & Broadcast (Books),4.45,7,3643.0
City Life Fiction,4.449999999999999,2,1877.0
Civil Rights & Liberties,4.6000000000000005,3,3247.0
Classic Action & Adventure,4.5,2,3014.0
Classic Fiction (Books),4.326744186046512,51,55732.0
Classic Literature,4.33445945945946,84,128196.0
Cleaning & Organising,4.5,3,22487.0
Cleansing & Detox Diets,4.550000000000001,2,3161.0
Climate Change,4.75,4,2041.0
Climbing & Mountaineering (Books),4.4,1,215.0
Coaching,4.6,2,601.0
Codependency,4.55,2,607.0
Cognitive Behavioural Psychology,4.633333333333333,3,2653.0
Cold War,4.4,1,76.0
College & University Test Preparation,4.5,1,198.0
Colonialism & Post-Colonialism,4.68,5,2478.0
Comedy,4.6,2,591.0
Coming of Age Fiction,4.423076923076923,13,27728.0
Commerce,4.2,5,3118.0
Commercial Real Estate,4.7,1,243.0
Communication & Social Skills,4.25,15,28511.0
Communism & Socialism,3.9,3,3421.0
Comparative Political Science,4.6,1,324.0
Comparative Religion,4.5,1,119.0
Compulsive Disorders,4.433333333333334,3,1246.0
Computer Programming Language & Tool,4.4,1,30.0
Computer Programming Languages,4.0,2,52.0
Computer Science,4.433333333333334,3,1612.0
Computer Science Books,4.444444444444445,9,1178.0
Computer Security,5.0,1,2.0
Computer Security & Encryption,4.6,1,946.0
Computers & Internet,4.4,2,227.0
Conflict Management,4.8,1,45.0
Conflict Resolution,4.45,2,498.0
Consciousness & Thought,4.57,10,8988.0
Conservatism & Liberalism,4.6,1,2186.0
Conspiracy Thrillers,4.3,1,1038.0
Constitutions,,1,0.0
Consumer Behaviour,4.4714285714285715,7,7505.0
Contagious Diseases,4.55,3,3017.0
Contemporary Fantasy,4.4875,8,37534.0
Contemporary Fantasy for Teens,4.4,1,12.0
Contemporary Fiction,4.213636363636364,24,7656.0
Contemporary Fiction (Books),4.333333333333333,58,94349.0
Contemporary Romance,4.380434782608695,47,103050.0
Contemporary Romance for Teens,4.6,2,45958.0
Cooking,4.65,2,6027.0
Cooking & Food for Children,,1,0.0
Corporate Finance,4.46,10,2470.0
Cosmology,4.586666666666667,15,15651.0
Cosy Mysteries,4.1,2,23.0
Counselling & Psychotherapy,4.6000000000000005,3,1943.0
Creativity,4.577777777777778,9,8320.0
Creativity & Genius,4.38,6,3345.0
Cricket,4.1000000000000005,3,483.0
Cricket (Books),4.5,2,476.0
Crime Action Fiction,4.5,1,5424.0
Crime Fiction,4.433333333333334,6,24817.0
Crime Fiction for Teens,4.6,1,2800.0
Crime Thrillers,4.420833333333333,24,134024.0
"Crime, Thriller & Mystery (Books)",4.321666666666667,63,213924.0
Criminology,4.333333333333333,3,423.0
Crop Science,4.4,1,2796.0
Cryptography,3.6,1,22.0
Culinary Biographies,4.0,1,5.0
