Cluster,Book_Count,Average_Rating,Average_Reviews,Total_Reviews,Average_Price,Average_Weighted_Rating,Average_Popularity,Average_Quality,Average_Listening_Hours
0,162,4.41237495018272,787.4876543209876,127573.0,843.6296296296297,4.46987113920374,0.34024016769580867,0.7878722242379151,7.491872427983539
1,4013,4.453040208234418,629.9095439820583,2527827.0,878.0540742586594,4.471624056029636,0.4154125954238941,0.7954866219785526,0.1796494725475538
2,19,4.4548057632682845,347.10526315789474,6595.0,360.4736842105263,4.483540656900466,0.2905194034030691,0.7991809230622073,0.0
3,19,4.508257100895591,282.36842105263156,5365.0,839.6315789473684,4.478741118054849,0.4754460813528049,0.8071714295924443,1.2675438596491226
4,1408,4.471029223332864,1344.6484375,1893265.0,1021.8231534090909,4.479767942028928,0.4843363919743069,0.8009482564277896,11.109114583333334
5,363,4.477851676783085,749.060606060606,271909.0,1158.4793388429753,4.478920325235368,0.4632144982649156,0.801901390465602,7.51643709825528
6,64,4.332353980485136,3350.1875,214412.0,1009.71875,4.415758648638972,0.533103566888027,0.7584960013271485,14.307552083333333
7,15,4.6,4554.0,68310.0,410.0,4.580927196552545,0.7488574851392406,0.8522559810023286,1.4955555555555555
