Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key,Review_Group
Guide (Hindi Edition),R.K. Narayan,4.6,4.6,23.0,3.1780538303479458,668.0,"R.K. Narayan’s reputation as one of the founding figures of Indian writing in English is re-examined in this comprehensive study of his fiction, which offers detailed readings of all his novels. Arguing against views that have seen Narayan as a chronicler of “authentic” Indianness, John Thieme locates his fiction in terms of its specific South Indian contexts and cultural geography and its non-Indian intertexts. The study also considers the effect that Narayan’s writing for overseas publication had on novels such as Swami and Friends, The Guide and The Man-Eater of Malgudi.","Literary History & Criticism | Indian Literature | Literary Theory, History & Criticism",",#2,000 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#13 in Literary History & Criticism,#19 in Indian Literature (Audible Audiobooks & Originals),#747 in Literary Theory, History & Criticism",2000.0,8 hours and 42 minutes,522.0,Both,1,1,1,guide (hindi edition),r.k. narayan,0-50
Anxious People,Fredrik Backman,4.6,4.6,22.0,3.1354942159291497,888.0,Brought to you by Penguin.,Humorous Fiction | Crime Fiction | Humour (Books),",#100 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Humorous Fiction,#3 in Crime Fiction,#28 in Humour (Books)",100.0,9 hours and 52 minutes,592.0,Both,1,1,1,anxious people,fredrik backman,0-50
"The Invisible Brand: Marketing in the Age of Automation, Big Data, and Machine Learning",William Ammerman,4.6,4.6,22.0,3.1354942159291497,668.0,Unknown,Unknown,Unknown,,Unknown,,Advanced Only,0,0,0,"the invisible brand: marketing in the age of automation, big data, and machine learning",william ammerman,0-50
Lord Emsworth and Others,P. G. Wodehouse,4.6,4.6,21.0,3.091042453358316,653.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,lord emsworth and others,p. g. wodehouse,0-50
Wisdom of the Gods for You and Me: My Gita and My Hanuman Chalisa,Devdutt Pattanaik,4.6,4.6,21.0,3.091042453358316,836.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,wisdom of the gods for you and me: my gita and my hanuman chalisa,devdutt pattanaik,0-50
The Other Sister,Donna Hill,4.6,4.6,20.0,3.044522437723423,820.0,"When it turns out your life is built on a lie, how do you even start to find yourself? In this stunning follow-up to A House Divided, author Donna Hill reveals one woman's challenge to peel back the layers of her identity - and hopefully gain more than she's lost....",African American Literature | Family Life Fiction | World Literature,",#29,747 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#69 in African American Literature,#378 in Family Life Fiction,#585 in World Literature (Audible Audiobooks & Originals)",29747.0,8 hours and 17 minutes,497.0,Both,1,1,1,the other sister,donna hill,0-50
"A History of Magic, Witchcraft and the Occult",DK,4.6,4.6,19.0,2.995732273553991,888.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"a history of magic, witchcraft and the occult",dk,0-50
Mr Wolf and the Enormous Turnip,Jan Fearnley,4.6,4.6,19.0,2.995732273553991,190.0,Unknown,Unknown,Unknown,,Unknown,,Advanced Only,0,0,0,mr wolf and the enormous turnip,jan fearnley,0-50
Suncatcher,Romesh Gunesekera,4.6,4.6,19.0,2.995732273553991,341.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,suncatcher,romesh gunesekera,0-50
"Taking the Stage: How Women Can Speak Up, Stand Out, and Succeed",Judith Humphrey,4.6,4.6,19.0,2.995732273553991,668.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"taking the stage: how women can speak up, stand out, and succeed",judith humphrey,0-50
