,Books,Average_Rating,Total_Reviews,Average_Reviews
Books,1.0,0.0034998424049880964,0.32420210892531137,-0.011996101627485836
Average_Rating,0.0034998424049880964,1.0,0.05719926021289295,0.03775657820265067
Total_Reviews,0.32420210892531137,0.05719926021289295,1.0,0.7706039750688307
Average_Reviews,-0.011996101627485836,0.03775657820265067,0.7706039750688307,1.0
